date,queried_at,slug,skill_id,skill_id_source,found,http_status,display_name,category,created_at,updated_at,latest_version,claim_state,verified,owner_handle,downloads,installs,stars,comments,versions_count,in_search_index,search_checked,has_evaluation,eval_skill_id,eval_adaptability,eval_convention,eval_effectiveness,eval_reliability,eval_trust,eval_overall,error
2026-09-23,2026-09-23T11:35:00.939682+08:00,iteration-report-git,203311,doc,True,200,迭代周报生成器,office-efficiency,2026-09-16T10:37:42.527000Z,2026-09-23T03:05:07.729000Z,0.1.2,unclaimed,False,indiv-captain,19,0,0,0,1,True,True,True,203311,4.4,4.7,4.2,4.27,4.75,4.45,
2026-09-23,2026-09-23T11:35:05.667694+08:00,release-checklist-git,203312,doc,True,200,上线检查清单,dev-programming,2026-09-16T10:38:58.302000Z,2026-09-23T03:07:02.404000Z,0.1.0,unclaimed,False,indiv-captain,24,0,0,0,1,True,True,True,203312,4.6,4.12,4.58,4.27,5,4.45,
2026-09-23,2026-09-23T11:35:10.294627+08:00,incident-brief-sre,203313,doc,True,200,线上排查简报,it-ops-security,2026-09-16T10:40:14.046000Z,2026-09-23T03:05:56.461000Z,0.1.0,unclaimed,False,indiv-captain,20,0,0,0,1,True,True,True,203313,4.4,4.45,4.72,4.37,4.5,4.51,
2026-09-23,2026-09-23T11:35:14.947558+08:00,build-workbuddy-connector,203315,doc,True,200,连接器构建助手,dev-programming,2026-09-16T10:41:29.704000Z,2026-09-23T03:27:44.853000Z,0.1.0,unclaimed,False,indiv-captain,25,0,0,0,1,True,True,True,203315,4.8,4.53,4.38,4.17,4.9,4.5,
2026-09-23,2026-09-23T11:35:19.623032+08:00,dev-workflow-pro,203361,doc,True,200,研发全能助手,dev-programming,2026-09-16T11:32:37.399000Z,2026-09-21T06:49:40.279000Z,0.1.0,unclaimed,False,indiv-captain,81,0,0,0,1,True,True,True,203361,4.65,4.12,4.72,3.83,4.9,4.4,
2026-09-23,2026-09-23T11:35:24.220156+08:00,commit-message-cc,203362,doc,True,200,Git 提交信息生成器,dev-programming,2026-09-16T11:33:53.047000Z,2026-09-23T02:33:46.211000Z,0.1.0,unclaimed,False,indiv-captain,39,0,0,0,1,True,True,True,203362,4.65,4.35,4.58,4.17,5,4.5,
2026-09-23,2026-09-23T11:35:28.874306+08:00,changelog-keep,203363,doc,True,200,Changelog 生成器,dev-programming,2026-09-16T11:35:08.726000Z,2026-09-23T02:33:38.638000Z,0.1.0,unclaimed,False,indiv-captain,41,0,0,0,1,True,True,True,203363,4.4,4.2,4.45,4.17,5,4.39,
2026-09-23,2026-09-23T11:35:33.535922+08:00,dep-vuln-check-osv,203365,doc,True,200,依赖漏洞体检,it-ops-security,2026-09-16T11:36:24.459000Z,2026-09-23T03:07:04.252000Z,0.1.0,unclaimed,False,indiv-captain,23,0,0,0,1,True,True,True,203365,4.5,4.38,4.45,4.7,4.5,4.49,
2026-09-23,2026-09-23T11:35:38.194272+08:00,log-anomaly-3sigma,203366,doc,True,200,日志突变检测,it-ops-security,2026-09-16T11:37:40.189000Z,2026-09-23T02:37:03.628000Z,0.1.0,unclaimed,False,indiv-captain,29,0,0,0,1,True,True,True,203366,4.4,4.15,4.47,4.17,5,4.39,
2026-09-23,2026-09-23T11:35:42.857855+08:00,grill-me-zh,203367,doc,True,200,需求盘问官,dev-programming,2026-09-16T11:38:55.827000Z,2026-09-23T03:09:01.478000Z,0.1.0,unclaimed,False,indiv-captain,30,0,0,0,1,True,True,True,203367,4.9,4.38,4.45,4.03,5,4.48,
2026-09-23,2026-09-23T11:35:47.751753+08:00,diagnosing-bugs-zh,203368,doc,True,200,Bug 诊断法,dev-programming,2026-09-16T11:40:11.577000Z,2026-09-23T03:13:35.516000Z,0.1.1,unclaimed,False,indiv-captain,36,0,0,0,2,True,True,True,203368,3.9,4.25,4.97,4.5,5,4.55,
2026-09-23,2026-09-23T11:35:52.307655+08:00,merge-conflicts-zh,203369,doc,True,200,合并冲突解决,dev-programming,2026-09-16T11:41:27.194000Z,2026-09-23T03:08:33.403000Z,0.1.0,unclaimed,False,indiv-captain,26,0,0,0,1,True,True,True,203369,4.4,4.28,4.65,4.27,5,4.49,
2026-09-23,2026-09-23T11:35:56.971168+08:00,spec-and-tickets-zh,203370,doc,True,200,需求→Spec→任务拆解,business-ops,2026-09-16T11:42:43.632000Z,2026-09-23T02:48:31.977000Z,0.1.0,unclaimed,False,indiv-captain,27,0,0,0,1,True,True,True,203370,4.5,4.22,4.72,4.1,5,4.47,
2026-09-23,2026-09-23T11:36:01.677494+08:00,code-review-zh,203374,doc,True,200,代码评审（双轴）,dev-programming,2026-09-16T11:48:38.207000Z,2026-09-16T20:38:24.032000Z,0.1.0,unclaimed,False,indiv-captain,0,0,0,0,1,True,True,True,203374,4.4,4.53,4.53,4.03,5,4.47,
2026-09-23,2026-09-23T11:36:06.402433+08:00,tech-design-review,203376,doc,True,200,技术方案评审官,dev-programming,2026-09-16T11:49:53.875000Z,2026-09-23T01:24:25.241000Z,0.1.1,unclaimed,False,indiv-captain,42,0,0,0,2,True,True,True,203376,4.4,4.25,4.4,4.3,5,4.42,
2026-09-23,2026-09-23T11:36:11.018587+08:00,license-check-offline,203377,doc,True,200,开源协议合规检查,dev-programming,2026-09-16T11:51:09.633000Z,2026-09-23T03:07:03.051000Z,0.1.0,unclaimed,False,indiv-captain,24,0,0,0,1,True,True,True,203377,4.5,4.12,4.4,4.17,5,4.37,
2026-09-23,2026-09-23T11:36:15.745152+08:00,api-diff-test,203378,doc,True,200,接口差分测试,dev-programming,2026-09-16T11:52:25.273000Z,2026-09-23T03:26:09.340000Z,0.1.0,unclaimed,False,indiv-captain,38,0,0,0,1,True,True,True,203378,4.25,4.22,4.72,4.27,5,4.47,
2026-09-23,2026-09-23T11:36:20.408195+08:00,ci-config-review,203379,doc,True,200,CI 配置审查,it-ops-security,2026-09-16T11:53:40.934000Z,2026-09-23T03:07:24.815000Z,0.1.0,unclaimed,False,indiv-captain,22,0,0,0,1,True,True,True,203379,4.4,4.12,4.53,4.17,4.75,4.36,
2026-09-23,2026-09-23T11:36:25.040154+08:00,api-design-zh,203418,doc,True,200,API 与接口设计,dev-programming,2026-09-16T12:56:18.290000Z,2026-09-23T03:09:02.189000Z,0.1.1,unclaimed,False,indiv-captain,28,0,0,0,2,True,True,True,203418,4.25,4.45,4.53,4.6,4.5,4.48,
2026-09-23,2026-09-23T11:36:29.747072+08:00,code-simplification-zh,203420,doc,True,200,代码化简（行为不变）,dev-programming,2026-09-16T12:57:33.881000Z,2026-09-23T02:37:41.211000Z,0.1.1,unclaimed,False,indiv-captain,39,0,0,0,2,True,True,True,203420,4.65,4.38,4.53,3.67,5,4.39,
2026-09-23,2026-09-23T11:36:34.460913+08:00,deprecation-migration-zh,203421,doc,True,200,下线与迁移（扩展-收缩）,dev-programming,2026-09-16T12:58:49.524000Z,2026-09-23T03:09:06.790000Z,0.1.1,unclaimed,False,indiv-captain,28,0,0,0,2,True,True,True,203421,4.75,4.38,4.6,4.33,5,4.56,
2026-09-23,2026-09-23T11:36:39.184479+08:00,docs-and-adr-zh,203423,evaluation,True,200,文档与 ADR,knowledge-management,2026-09-16T13:00:05.117000Z,2026-09-23T02:39:04.143000Z,0.1.0,unclaimed,False,indiv-captain,28,0,0,0,1,True,True,True,203423,4.25,4.22,5,3.97,5,4.49,
2026-09-23,2026-09-23T11:36:43.792520+08:00,ci-cd-zh,204519,doc,True,200,CI/CD 与自动化门禁,it-ops-security,2026-09-17T09:50:12.741000Z,2026-09-23T03:08:30.829000Z,0.1.1,unclaimed,False,indiv-captain,22,0,0,0,2,True,True,True,204519,4.3,4.28,4.65,4.33,4.65,4.44,
2026-09-23,2026-09-23T11:36:48.504013+08:00,git-workflow-zh,204525,doc,True,200,Git 工作流与版本管理,dev-programming,2026-09-17T09:51:29.074000Z,2026-09-23T03:06:43.662000Z,0.1.0,unclaimed,False,indiv-captain,21,0,0,0,1,True,True,True,204525,4.4,4.15,4.6,3.83,5,4.35,
2026-09-23,2026-09-23T11:36:53.142386+08:00,incremental-implementation-zh,204526,doc,True,200,增量实现（薄切片）,dev-programming,2026-09-17T09:52:44.685000Z,2026-09-23T03:06:36.416000Z,0.1.1,unclaimed,False,indiv-captain,23,0,0,0,2,True,True,True,204526,4.4,4.4,4.72,4.37,5,4.56,
2026-09-23,2026-09-23T11:36:57.864320+08:00,planning-tasks-zh,204529,doc,True,200,实施计划与任务拆解,business-ops,2026-09-17T09:54:00.273000Z,2026-09-23T03:06:36.856000Z,0.1.0,unclaimed,False,indiv-captain,21,0,0,0,1,True,True,True,204529,4.5,4.12,4.65,3.83,5,4.37,
2026-09-23,2026-09-23T11:37:02.591655+08:00,engineering-skills-index-zh,204558,doc,True,200,工程实践技能系列·总入口,dev-programming,2026-09-17T10:23:58.473000Z,2026-09-23T03:08:32.472000Z,0.1.1,unclaimed,False,indiv-captain,26,0,0,0,2,True,True,True,204558,4,4.1,4.75,4.2,5,4.4,
